#
#"a"	"SZmin(2),Zmax(1) - deg [Mag]"	"SZmin(2),Zmax(1) - deg [Pha in deg.]"
#-------------------------------------------------------------------------
0.0000000000000	0.92044691048655	-3.0184846624214
1.0000000000000	0.91980460540068	-1.2148558843730
2.0000000000000	0.91919110993544	0.93037501606578
3.0000000000000	0.91955973403061	2.7605842545131
4.0000000000000	0.91733655787712	4.8005331533334
5.0000000000000	0.91809252332221	6.5358517778603
6.0000000000000	0.91511155771566	8.4291909825281
7.0000000000000	0.91608281372511	10.411037791779
8.0000000000000	0.91480274319176	12.141655922003
9.0000000000000	0.91374653502302	14.091363222146
10.000000000000	0.91262068927993	15.900242949515
11.000000000000	0.90859146485119	17.767603405214
12.000000000000	0.91011138031312	19.570811365825
13.000000000000	0.90858619491042	21.501452494784
14.000000000000	0.90773271420185	23.070899538769
15.000000000000	0.90367179539009	25.109521265173
16.000000000000	0.90248156336665	27.008603731187
17.000000000000	0.90443603787514	28.543313717619
18.000000000000	0.90371700364261	30.511714430299
19.000000000000	0.90303090083728	32.396398624432
20.000000000000	0.90272186527780	34.213929681735
21.000000000000	0.90248160399320	36.048012945372
22.000000000000	0.90255575913370	38.014701792780
23.000000000000	0.90254447602072	39.945495114243
24.000000000000	0.90035584147975	41.858540712770
25.000000000000	0.90152288386912	43.827663817363
26.000000000000	0.90418215701456	45.767464911262
27.000000000000	0.90283607252255	47.700005413172
28.000000000000	0.90526005177667	49.704186959329
29.000000000000	0.90606778943410	51.775965540380
30.000000000000	0.90495560385368	53.667861324528
31.000000000000	0.90747725297839	55.722830211944
32.000000000000	0.90802946758833	57.693664689449
33.000000000000	0.90790667454285	59.749903204199
34.000000000000	0.90933399491439	61.661115813452
35.000000000000	0.90945933864654	63.562677749015
36.000000000000	0.91043622846224	65.534659195947
37.000000000000	0.91106742505371	67.512812325280
38.000000000000	0.91168752866791	69.463605073581
39.000000000000	0.91184601120141	71.252696997239
40.000000000000	0.91223772463692	73.085681124917
41.000000000000	0.91364923684445	75.149286610331
42.000000000000	0.91341958759473	76.936007785369
43.000000000000	0.91496631824468	78.879554336713
44.000000000000	0.91455878981472	80.636107241030
45.000000000000	0.91511133836352	82.357354998482
46.000000000000	0.91638509372298	84.223343682615
47.000000000000	0.91713686925155	86.036720397210
48.000000000000	0.91775184563824	87.819116121757
49.000000000000	0.91740887650886	89.511004108919
50.000000000000	0.91897495148725	91.271483876336
51.000000000000	0.91891485187747	93.074263707490
52.000000000000	0.91967889533115	94.859301204797
53.000000000000	0.92027064296416	96.582147965750
54.000000000000	0.92090057567547	98.370548631099
55.000000000000	0.92153378254681	100.12359143394
56.000000000000	0.92194252243699	101.87732375150
57.000000000000	0.92254217764921	103.74298918652
58.000000000000	0.92304438063555	105.62898407882
59.000000000000	0.92360291156696	107.56198977371
60.000000000000	0.92376951842121	109.40608711249
61.000000000000	0.92406652898350	111.33836641166
62.000000000000	0.92425618815893	113.31761096943
63.000000000000	0.92456674011642	115.44778938208
64.000000000000	0.92356277049323	117.50837812763
65.000000000000	0.92351824871106	119.62364479725
66.000000000000	0.92436723825922	121.76623454562
67.000000000000	0.92427156174307	123.98980184699
68.000000000000	0.92428885252997	126.38254032470
69.000000000000	0.92450870414797	128.76478323904
70.000000000000	0.92436988118203	131.13766344266
71.000000000000	0.92435206735743	133.60710941840
72.000000000000	0.92436057107657	136.05955463938
73.000000000000	0.92455750484299	138.54128005576
74.000000000000	0.92457082048237	141.10109545975
75.000000000000	0.92467378088323	143.69404361642
76.000000000000	0.92450120196065	146.19290602577
77.000000000000	0.92418024873129	148.61867771560
78.000000000000	0.92439420875873	151.15406673031
79.000000000000	0.92451216984562	153.44573702510
80.000000000000	0.92462463198633	155.83488949905
81.000000000000	0.92454318948915	158.11682331036
82.000000000000	0.92436707885360	160.46877858872
83.000000000000	0.92419647490729	162.60421593320
84.000000000000	0.92387965173242	164.71963351321
85.000000000000	0.92357565725306	166.93494131794
86.000000000000	0.92330921256275	168.94798413930
87.000000000000	0.92294386436038	171.03455489590
88.000000000000	0.92256453315249	172.93519817887
89.000000000000	0.92212916660055	175.00924122206
90.000000000000	0.92146098808584	176.96122706112
91.000000000000	0.91950277104291	178.81406921933
92.000000000000	0.91881641320279	-179.25164503129
93.000000000000	0.91793703592053	-177.28148110344
94.000000000000	0.91879182148244	-175.32146472569
95.000000000000	0.91788193891307	-173.43547735119
96.000000000000	0.91697858296642	-171.52115274016
97.000000000000	0.91626159051956	-169.60792348488
98.000000000000	0.91522870342871	-167.82827788384
99.000000000000	0.91377858733113	-165.92694796961
100.00000000000	0.91244733900739	-164.02707062914
101.00000000000	0.90797871295678	-162.27986355081
102.00000000000	0.90635853288124	-160.44971596090
103.00000000000	0.90870286610699	-158.57484461572
104.00000000000	0.90769975678216	-156.96452314998
105.00000000000	0.90371801374320	-154.88772398460
106.00000000000	0.90247196787277	-153.15120406418
107.00000000000	0.90462116390347	-151.41084968833
108.00000000000	0.90354845782837	-149.59168709189
109.00000000000	0.90323214586644	-147.65368831369
110.00000000000	0.90278144762704	-145.76923944322
111.00000000000	0.90253477038622	-143.91883746420
112.00000000000	0.90224153901786	-141.91963094971
113.00000000000	0.89970346706757	-140.15738356305
114.00000000000	0.90283261236423	-138.19300882656
115.00000000000	0.90137680456005	-136.14936261755
116.00000000000	0.90203184030577	-134.22108769682
117.00000000000	0.90463177408227	-132.26845469294
118.00000000000	0.90523026406419	-130.25434987055
119.00000000000	0.90580000445604	-128.22398747311
120.00000000000	0.90533181798701	-126.20637489056
